Acc0,Acc1,Acc2,LinearAcc0,LinearAcc1,LinearAcc2,Gravity0,Gravity1,Gravity2,Gyro0,Gyro1,Gyro2,MagnetData0,MagnetData1,MagnetData2,Timestamp,dt
3.282455444,-8.511383057,0.596160889,3.336618185,0.987025261,3.00579524,-0.054202616,-9.505396843,-2.411407232,0.047973633,-0.083251953,0.305709839,-17.69714355,40.95306396,8.142089844,22:12:21:577,0.020019531
3.890579224,-9.402023315,0.739807129,3.987192154,0.103857994,3.099877119,-0.096728273,-9.517235756,-2.362889051,0.175796509,-0.333587646,0.244995117,-16.8838501,40.92102051,6.96105957,22:12:21:597,0.019989014
3.895370483,-10.88642883,1.194702148,3.964432955,-1.336058617,3.375570297,-0.069134355,-9.560310364,-2.183137894,0.438919067,-0.662750244,-0.249282837,-16.73431396,41.08276367,7.421875,22:12:21:642,0.020019531
3.627212524,-11.62625122,1.414978027,3.625172853,-2.039556503,3.46202898,0.002040387,-9.590447426,-2.047852278,0.606170654,-0.58605957,-0.406951904,-16.15905762,41.44592285,7.592773438,22:12:21:678,0.019989013
3.995925903,-13.58470154,0.883453369,3.752044439,-3.904011726,2.617908001,0.243107721,-9.649974823,-1.728951454,0.744659424,-0.489120483,-0.694564819,-15.86914063,41.63513184,6.076049805,22:12:21:697,0.019989014
3.727767944,-10.82418823,1.711853027,3.327281713,-1.114697456,3.267316341,0.399070174,-9.675162315,-1.549963832,0.854370117,-0.513626099,-0.808547974,-16.34521484,40.8493042,6.378173828,22:12:21:739,0.019989014
1.716644287,-13.64933777,0.735015869,0.84784615,-3.877480507,1.794966459,0.863440752,-9.71159935,-1.053414464,1.33480835,-0.208953857,-1.324142456,-17.35687256,41.73583984,4.782104492,22:12:21:778,0.019989014
2.281677246,-14.73631287,1.841140747,0.766359091,-4.942915916,2.23200345,1.498360038,-9.683797836,-0.386488497,1.803527832,-0.142913818,-1.784332275,-18.31970215,40.03295898,2.793884277,22:12:21:797,0.019989014
1.453277588,-13.63977051,1.405395508,-0.443856239,-3.88617897,1.393529296,1.872363329,-9.62624073,0.011711325,2.042144775,-0.104553223,-1.966491699,-22.23052979,40.40527344,-0.912475586,22:12:21:821,0.019989014
1.522705078,-12.21043396,0.62727356,-1.134096384,-2.645983696,-0.197213173,2.615691662,-9.416456223,0.811729133,2.306335449,-0.951446533,-1.955841064,-22.63031006,37.33978271,-4.061889648,22:12:21:863,0.019989013
2.250549316,-12.00932312,0.804458618,-0.817093372,-2.596486092,-0.387478828,3.016900301,-9.257138252,1.172221422,2.324447632,-1.252914429,-2.05065918,-26.23138428,36.59362793,-6.809997559,22:12:21:880,0.019989014
1.977615356,-11.5304718,0.47883606,-1.978877783,-2.544469833,-1.352440238,3.88474369,-8.823043823,1.798066854,2.236022949,-1.320022583,-2.287139893,-26.4465332,34.11102295,-6.301879883,22:12:21:919,0.019989014
1.898605347,-10.88642883,0.533905029,-2.510190487,-2.172017097,-1.569115639,4.327857018,-8.554428101,2.064412355,2.130569458,-1.167694092,-2.364898682,-31.57653809,29.84313965,-8.27331543,22:12:21:940,0.019989014
1.814804077,-9.406814575,0.612915039,-3.441993713,-1.332223892,-1.996459961,5.164416313,-7.932689667,2.563518524,1.900466919,-0.524276733,-2.427749634,-32.50274658,28.57055664,-8.895874023,22:12:21:982,0.019989013
1.584960938,-8.793899536,0.639251709,-4.029775143,-1.064773083,-2.218735456,5.521859169,-7.601274014,2.810711384,1.779022217,-0.200439453,-2.322296143,-33.59680176,22.23510742,-10.77880859,22:12:22:019,0.019989013
1.309631348,-8.142684937,0.735015869,-4.856859207,-1.085318565,-2.583583117,6.082486153,-6.961225986,3.273390532,1.478622437,0.162826538,-1.986740112,-37.42675781,20.43457031,-10.45837402,22:12:22:039,0.019989014
1.288085938,-7.532165527,0.826004028,-5.054152489,-1.262294292,-2.779414415,6.306760788,-6.661068439,3.467755556,1.175018311,0.159622192,-1.712966919,-39.3157959,17.45758057,-12.61291504,22:12:22:075,0.019989014
1.192306519,-7.333435059,0.809234619,-5.532868385,-1.171232224,-2.999371529,6.672110558,-6.113580227,3.77855444,1.012039185,0.19052124,-1.562759399,-36.79199219,15.19317627,-12.89672852,22:12:22:096,0.019989014
1.244979858,-7.513000488,0.720657349,-5.595386028,-1.584121704,-3.196831226,6.8009305,-5.894698143,3.894903421,0.788330078,0.217147827,-1.324142456,-39.69726563,11.50054932,-13.85955811,22:12:22:121,0.020019531
2.717422485,-8.070861816,1.280899048,-4.23670578,-2.391669273,-2.724824905,6.93653059,-5.664821625,3.995587587,0.104431152,0.187316895,-0.646636963,-39.57061768,11.378479,-15.07263184,22:12:22:158,0.019989014
3.081344604,-8.011001587,1.367095947,-3.865012646,-2.343797207,-2.638725281,6.937515736,-5.659990311,4.000722408,-0.284393311,0.326873779,-0.334518433,-37.97149658,11.00769043,-14.37683105,22:12:22:179,0.020019531
3.284851074,-8.456314087,1.302444458,-3.60228014,-2.730797291,-2.697580814,6.885558605,-5.724209309,3.999111652,-0.633804321,0.576141357,-0.044754028,-39.01062012,10.00823975,-14.70794678,22:12:22:218,0.019989014
3.821151733,-10.37886047,1.946487427,-2.829505444,-4.327660084,-1.960524797,6.652641773,-6.053006649,3.908178091,-1.328353882,0.684799194,0.53793335,-38.44604492,11.81488037,-15.02990723,22:12:22:236,0.020019531
4.728546143,-9.095565796,2.944869995,-1.7394557,-2.784899235,-0.860893011,6.46890974,-6.311552048,3.806297064,-1.669235229,0.830749512,0.889480591,-36.90338135,13.89923096,-16.53289795,22:12:22:278,0.019989013
5.92086792,-7.965515137,1.177947998,0.035531998,-1.028820515,-2.478557825,5.886727333,-6.938333988,3.65737009,-1.918502808,1.58921814,1.493484497,-35.56365967,15.22674561,-16.34979248,22:12:22:304,0.020019532
6.06930542,-8.710113525,1.103729248,0.51291275,-1.428447247,-2.40015626,5.556305885,-7.281552792,3.50383091,-2.041015625,1.304794312,1.67350769,-33.72192383,19.21539307,-15.74859619,22:12:22:319,0.019989014
5.403717041,-9.775527954,1.501159668,0.379380703,-1.882276535,-1.47611928,5.01804781,-7.883372784,2.973552704,-2.043136597,0.24697876,1.405059814,-33.78143311,21.66290283,-16.57409668,22:12:22:358,0.020019531
4.984725952,-9.600753784,1.960845947,0.117160797,-1.480341911,-0.663315296,4.728792191,-8.286129951,2.26913476,-1.964309692,-0.360214233,1.10786438,-32.12738037,25.04730225,-15.35644531,22:12:22:398,0.019989014
4.733337402,-8.583206177,1.975219727,0.144398212,-0.118619919,-0.002991438,4.578227997,-8.444828987,1.973593831,-1.755523682,-0.012939453,0.905456543,-32.16247559,27.77557373,-13.89770508,22:12:22:421,0.019989013
4.134780884,-7.831436157,1.869873047,-0.034646988,0.927046776,0.317111254,4.162166595,-8.74323082,1.55005765,-1.65965271,1.121566772,1.081222534,-29.81109619,28.22723389,-13.94958496,22:12:22:458,0.019989014
3.517089844,-7.536941528,2.039855957,-0.424773216,1.348414421,0.665001273,3.937613726,-8.875777245,1.373372555,-1.625564575,1.305847168,1.059921265,-27.47039795,30.11932373,-13.73138428,22:12:22:497,0.019989014
